"C","DT","U:0","U:1","U:2","alpha.water","p","p_rgh","rho","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.3078,1.4e-09,0,3.322e-20,0,1,-1.2294e-20,-1.2294e-20,1000,59,1,0.39667,0.0005,0.39667,0.0005
2.3382,1.4e-09,0,3.322e-20,0,1,-1.2295e-20,-1.2295e-20,1000,60,1,0.40333,0.0005,0.40333,0.0005
2.3685,1.4e-09,0,3.3219e-20,0,1,-1.2296e-20,-1.2296e-20,1000,61,1,0.41,0.0005,0.41,0.0005
2.3989,1.4e-09,0,3.3219e-20,0,1,-1.2298e-20,-1.2298e-20,1000,62,1,0.41667,0.0005,0.41667,0.0005
2.4293,1.4e-09,0,3.3219e-20,0,1,-1.2299e-20,-1.2299e-20,1000,63,1,0.42333,0.0005,0.42333,0.0005
2.4597,1.4e-09,0,3.3219e-20,0,1,-1.23e-20,-1.23e-20,1000,64,1,0.43,0.0005,0.43,0.0005
2.4901,1.4e-09,0,3.3218e-20,0,1,-1.2301e-20,-1.2301e-20,1000,65,1,0.43667,0.0005,0.43667,0.0005
2.5205,1.4e-09,0,3.3218e-20,0,1,-1.2302e-20,-1.2302e-20,1000,66,1,0.44333,0.0005,0.44333,0.0005
2.5508,1.4e-09,0,3.3218e-20,0,1,-1.2302e-20,-1.2302e-20,1000,67,1,0.45,0.0005,0.45,0.0005
2.5812,1.4e-09,0,3.3218e-20,0,1,-1.2303e-20,-1.2303e-20,1000,68,1,0.45667,0.0005,0.45667,0.0005
2.6116,1.4e-09,0,3.3217e-20,0,1,-1.2304e-20,-1.2304e-20,1000,69,1,0.46333,0.0005,0.46333,0.0005
2.642,1.4e-09,0,3.3217e-20,0,1,-1.2304e-20,-1.2304e-20,1000,70,1,0.47,0.0005,0.47,0.0005
2.6724,1.4e-09,0,3.3217e-20,0,1,-1.2305e-20,-1.2305e-20,1000,71,1,0.47667,0.0005,0.47667,0.0005
2.7028,1.4e-09,0,3.3216e-20,0,1,-1.2305e-20,-1.2305e-20,1000,72,1,0.48333,0.0005,0.48333,0.0005
2.7331,1.4e-09,0,3.3216e-20,0,1,-1.2305e-20,-1.2305e-20,1000,73,1,0.49,0.0005,0.49,0.0005
2.315,3.7511e-06,0,3.3215e-20,0,0.75,-9.2084e-21,-9.2084e-21,750.25,74,1,0.49667,0.0005,0.49667,0.0005
1.4407,1.125e-05,0,3.3206e-20,0,0.25,-3.0144e-21,-3.0144e-21,250.75,75,1,0.50333,0.0005,0.50333,0.0005
0.99979,1.5e-05,0,3.3185e-20,0,0,8.2652e-23,8.2652e-23,1,76,1,0.51,0.0005,0.51,0.0005
0.99979,1.5e-05,0,3.3163e-20,0,0,8.2837e-23,8.2837e-23,1,77,1,0.51667,0.0005,0.51667,0.0005
0.9998,1.5e-05,0,3.3144e-20,0,0,8.3108e-23,8.3108e-23,1,78,1,0.52333,0.0005,0.52333,0.0005
0.9998,1.5e-05,0,3.3126e-20,0,0,8.3465e-23,8.3465e-23,1,79,1,0.53,0.0005,0.53,0.0005
0.9998,1.5e-05,0,3.3107e-20,0,0,8.3904e-23,8.3904e-23,1,80,1,0.53667,0.0005,0.53667,0.0005
0.99981,1.5e-05,0,3.3089e-20,0,0,8.4424e-23,8.4424e-23,1,81,1,0.54333,0.0005,0.54333,0.0005
0.99981,1.5e-05,0,3.3071e-20,0,0,8.5026e-23,8.5026e-23,1,82,1,0.55,0.0005,0.55,0.0005
